iter	MultiClass
0	1.003123803
1	0.9200214985
2	0.8483355561
3	0.7846066262
4	0.7275680435
5	0.6765730918
6	0.6311121528
7	0.5892751991
8	0.5514076764
9	0.5163741654
10	0.4839590553
11	0.454003426
12	0.4267660856
13	0.4013227188
14	0.3779271871
15	0.3563749158
16	0.3362545087
17	0.3176019536
18	0.299758998
19	0.2831332857
20	0.2675644733
21	0.2531636936
22	0.2395109
23	0.2266351204
24	0.2145895811
25	0.2034068626
26	0.1927288827
27	0.1827293826
28	0.1734772878
29	0.1647093293
30	0.156410473
31	0.1485205551
32	0.1410743628
33	0.1340340704
34	0.1274158813
35	0.1211361798
36	0.1151934653
37	0.1095831699
38	0.1042950434
39	0.09925172588
40	0.09447751783
41	0.08998216957
42	0.08572833656
43	0.08165846368
44	0.07784585663
45	0.07424214737
46	0.07076280473
47	0.06746777263
48	0.0643736678
49	0.06142822886
50	0.05859142279
51	0.05594605672
52	0.05342144587
53	0.05103602911
54	0.04879742814
55	0.04663641634
56	0.04460160652
57	0.04266436122
58	0.04076216704
59	0.03900631018
60	0.03731684738
61	0.03569654316
62	0.0342168581
63	0.0327294736
64	0.0313324699
65	0.03006008398
66	0.02880566614
67	0.02762258361
68	0.02646668116
69	0.0253703948
70	0.02433113514
71	0.02337612642
72	0.02248409643
73	0.02161266904
74	0.02075947375
75	0.02000411694
76	0.01923944228
77	0.01850800425
78	0.01782609009
79	0.01719502857
80	0.0165862633
81	0.01601378017
82	0.01543190704
83	0.0149217793
84	0.01440852877
85	0.0138906617
86	0.01342744399
87	0.01298409398
88	0.01257934689
89	0.0121449565
90	0.0117681328
91	0.01140822881
92	0.01106381744
93	0.01071905586
94	0.01037725236
95	0.01007937504
96	0.009779871677
97	0.009535267925
98	0.009265760543
99	0.009003894364
100	0.008776181204
101	0.008552843758
102	0.008359110597
103	0.008186763814
104	0.007985554419
105	0.007809014134
106	0.007669532416
107	0.007501077541
108	0.007312503266
109	0.007179028191
110	0.007039205787
111	0.006903504767
112	0.006788565939
113	0.006640483611
114	0.006537917599
115	0.006420157907
116	0.006306407428
117	0.006200975251
118	0.006088585452
119	0.005988999432
120	0.005864602371
121	0.005787501717
122	0.005696688759
123	0.005635207352
124	0.005577992098
125	0.005516018048
126	0.005434581397
127	0.00532907308
128	0.005256042666
129	0.005182889692
130	0.005119292931
131	0.005041280377
132	0.004996438559
133	0.004928595393
134	0.004858656331
135	0.004807794764
136	0.004740256278
137	0.004688567674
138	0.004655248899
139	0.0046181371
140	0.004562152916
141	0.00450236462
142	0.004451710265
143	0.004403291325
144	0.004355752573
145	0.004326363285
146	0.004289119145
147	0.004256268201
148	0.004210085373
149	0.004163527461
150	0.004124997797
151	0.004102379546
152	0.004079795113
153	0.004045027682
154	0.004006647267
155	0.003964279077
156	0.003943749005
157	0.00390914262
158	0.003885862781
159	0.003864981806
160	0.003834387875
161	0.003805934839
162	0.003780345439
163	0.003758625656
164	0.003732524495
165	0.003712471629
166	0.003680913486
167	0.0036620195
168	0.003648816266
169	0.003632426621
170	0.00360691413
171	0.003581701201
172	0.003570884781
173	0.003557304609
174	0.003531157922
175	0.003518076084
176	0.003501533921
177	0.003479207491
178	0.003459369207
179	0.003447044093
180	0.003435233
181	0.003413384071
182	0.003384042991
183	0.003372714175
184	0.003361361017
185	0.003332493474
186	0.003321085967
187	0.003301024558
188	0.003288323747
189	0.003274672154
190	0.003255759155
191	0.003239389967
192	0.003220776235
193	0.003202629729
194	0.003190131489
195	0.003175924087
196	0.003164910001
197	0.003151195857
198	0.003139489072
199	0.003128462703
